,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
693,1931.01,4.97759177,1931.03,6.98795025,1.4038817510339945,7:5,0.002772679309996029,360.0411354980273
85,250.01,12.28301501,250.02,17.25119579,1.4044756744134272,7:5,0.003196910295305111,770.8869858024482
732,2038.03,17.91327996,2038.04,25.21486084,1.4076071437673214,7:5,0.0054336741195153415,662.9258394804416
485,1151.02,7.41088006,1151.01,10.43545334,1.4081260599972525,7:5,0.005804328569466,256.83919005098306
49,157.02,22.68714058,157.03,31.99551734,1.410293078899765,7:5,0.007352199214117894,621.6899268251082
484,1151.03,5.24969846,1151.02,7.41088006,1.4116772832700948,7:5,0.008340916621496275,126.92815423907835
11,82.01,16.14567465,82.06,22.4100071,1.3879882746181809,7:5,-0.008579803844156464,-373.13552196122953
1029,4421.01,4.72693561,4421.02,6.55935685,1.387655214960713,7:5,-0.008817703599490634,-106.26927612145623
14,85.01,5.8599363,85.03,8.13120523,1.3875927678599511,7:5,-0.008862308671463426,-131.07202538354412
957,3196.01,4.96061846,3196.02,6.88308994,1.3875467334369431,7:5,-0.00889519040218345,-110.54272234754843
87,251.01,4.16438514,251.02,5.77439788,1.3866147548494998,7:5,-0.009560889393214422,-86.2800466494888
867,2623.02,4.02657894,2623.01,5.57652377,1.3849284598900722,7:5,-0.010765385792805615,-74.00071564453663
740,2055.04,6.1308059,2055.01,8.67891788,1.4156243113160702,7:5,0.011160222368621575,111.09504546383941
117,312.01,11.57885861,312.02,16.39921712,1.416306880700394,7:5,0.011647771928852801,201.13248414951423
776,2173.01,37.81548396,2173.02,53.57863865,1.4168439231578724,7:5,0.012031373684194602,636.1776665427097
316,710.03,3.8868617,710.01,5.37492471,1.3828443420047594,7:5,-0.012254041425171835,-62.66066520434419
551,1404.01,13.32390445,1404.02,18.90618296,1.4189671676908489,7:5,0.013547976922035021,199.35694425395465
54,168.01,10.74246051,168.02,15.27444881,1.4218761889588738,7:5,0.015625849256338364,139.64451339047494
1043,4657.01,7.57606329,4657.02,10.43154013,1.3769077330398067,7:5,-0.016494476400138014,-90.34660952068533
897,2739.02,7.09552793,2739.01,10.10775159,1.4245242481907896,7:5,0.01751732013627838,82.43067441958154
863,2597.03,5.61355807,2597.01,8.00503248,1.4260175774755994,7:5,0.018583983911142576,61.535571384441624
714,2007.01,15.37899545,2007.02,21.12860126,1.3738609474652,7:5,-0.01867075181057143,-161.66309954709047
748,2086.01,7.13295045,2086.02,8.91897737,1.2503910454053413,5:4,0.00031283632427303587,5702.0088001134645
953,3158.03,6.18944555,3158.04,7.74345208,1.251073624841889,5:4,0.0008588998735112874,1803.109377195231
901,2768.01,11.82901246,2768.02,14.7477039,1.246740076559189,5:4,-0.002607938752648753,-1130.9854485671103
1019,4246.01,6.98474826,4246.02,8.75630846,1.253632648458543,5:4,0.0029061187668344424,602.6118794544666
912,2859.01,3.44620774,2859.03,4.28887482,1.2445201054536543,5:4,-0.004383915637076519,-195.66411286418378
487,1151.04,17.45319318,1151.05,21.72027051,1.244486913425661,5:4,-0.004410469259471084,-984.9414759374043
136,351.06,7.00823625,351.05,8.71984892,1.2442287344408516,5:4,-0.0046170124473187135,-377.7268967539375
596,1576.01,10.41573181,1576.02,13.08424809,1.2562005559165794,5:4,0.004960444733263625,527.5433471624018
